scenario,level,system,expression_group_layer,expression_group,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,16,39,0,0,0.333333,0.314516,0.051948,0.055794
S1,trigrams,CONTROL,cross_cutting,surfacing,1,4,0,0,0.020833,0.032258,0.003247,0.005722
S1,trigrams,CONTROL,constraint_aligned,temporal_projection,16,40,0,0,0.333333,0.322581,0.051948,0.057225
S1,trigrams,CONTROL,constraint_aligned,truth,3,7,0,0,0.062500,0.056452,0.009740,0.010014
S1,trigrams,CONTROL,cross_cutting,warning,6,12,0,0,0.125000,0.096774,0.019481,0.017167
S1,trigrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,3,6,0,0,0.046875,0.042553,0.009740,0.008584
S1,trigrams,HYBRID_3_5,cross_cutting,conditions,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,24,52,0,0,0.375000,0.368794,0.077922,0.074392
S1,trigrams,HYBRID_3_5,cross_cutting,surfacing,7,17,0,0,0.109375,0.120567,0.022727,0.024320
S1,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,14,35,0,0,0.218750,0.248227,0.045455,0.050072
S1,trigrams,HYBRID_3_5,constraint_aligned,truth,16,32,0,0,0.250000,0.226950,0.051948,0.045780
S1,trigrams,HYBRID_3_5,cross_cutting,warning,6,13,0,0,0.093750,0.092199,0.019481,0.018598
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,hedging,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,8,16,0,0,0.108108,0.095808,0.025974,0.022890
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,32,68,0,0,0.432432,0.407186,0.103896,0.097282
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,4,12,0,0,0.054054,0.071856,0.012987,0.017167
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,18,41,0,0,0.243243,0.245509,0.058442,0.058655
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,truth,15,37,0,0,0.202703,0.221557,0.048701,0.052933
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,warning,5,10,0,0,0.067568,0.059880,0.016234,0.014306
S3,quadgrams,AC15,cross_cutting,hedging,3,6,0,0,0.096774,0.096774,0.016043,0.014706
S3,quadgrams,AC15,constraint_aligned,imagination_and_possibility,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,16,32,0,0,0.516129,0.516129,0.085561,0.078431
S3,quadgrams,AC15,cross_cutting,surfacing,1,2,0,0,0.032258,0.032258,0.005348,0.004902
S3,quadgrams,AC15,constraint_aligned,temporal_projection,7,14,0,0,0.225806,0.225806,0.037433,0.034314
S3,quadgrams,AC15,constraint_aligned,truth,4,8,0,0,0.129032,0.129032,0.021390,0.019608
S3,quadgrams,AC15P,cross_cutting,autonomy_sovereignty,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,cross_cutting,conditions,4,10,0,0,0.093023,0.109890,0.021390,0.024510
S3,quadgrams,AC15P,cross_cutting,hedging,5,10,0,0,0.116279,0.109890,0.026738,0.024510
S3,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,4,8,0,0,0.093023,0.087912,0.021390,0.019608
S3,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,17,37,1,2,0.395349,0.406593,0.090909,0.090686
S3,quadgrams,AC15P,cross_cutting,smoothing,3,6,0,0,0.069767,0.065934,0.016043,0.014706
S3,quadgrams,AC15P,cross_cutting,surfacing,5,10,0,0,0.116279,0.109890,0.026738,0.024510
S3,quadgrams,AC15P,constraint_aligned,temporal_projection,9,20,2,4,0.209302,0.219780,0.048128,0.049020
S3,quadgrams,AC15P,constraint_aligned,truth,4,8,0,0,0.093023,0.087912,0.021390,0.019608
S3,quadgrams,CONTROL,cross_cutting,autonomy_sovereignty,3,9,0,0,0.103448,0.145161,0.016043,0.022059
S3,quadgrams,CONTROL,cross_cutting,conditions,4,8,0,0,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,CONTROL,cross_cutting,hedging,1,2,0,0,0.034483,0.032258,0.005348,0.004902
S3,quadgrams,CONTROL,constraint_aligned,imagination_and_possibility,1,2,0,0,0.034483,0.032258,0.005348,0.004902
S3,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,13,27,1,2,0.448276,0.435484,0.069519,0.066176
S3,quadgrams,CONTROL,cross_cutting,surfacing,6,14,0,0,0.206897,0.225806,0.032086,0.034314
S3,quadgrams,CONTROL,constraint_aligned,temporal_projection,4,8,1,2,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,CONTROL,constraint_aligned,truth,4,8,0,0,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,CONTROL,cross_cutting,warning,4,8,0,0,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,8,27,0,0,0.195122,0.270000,0.042781,0.066176
S3,quadgrams,HYBRID_3_5,cross_cutting,hedging,2,4,0,0,0.048780,0.040000,0.010695,0.009804
S3,quadgrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,2,4,0,0,0.048780,0.040000,0.010695,0.009804
S3,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,22,47,0,0,0.536585,0.470000,0.117647,0.115196
S3,quadgrams,HYBRID_3_5,cross_cutting,surfacing,1,2,0,0,0.024390,0.020000,0.005348,0.004902
S3,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,1,3,0,0,0.024390,0.030000,0.005348,0.007353
S3,quadgrams,HYBRID_3_5,constraint_aligned,truth,4,8,0,0,0.097561,0.080000,0.021390,0.019608
S3,quadgrams,HYBRID_3_5,cross_cutting,warning,4,11,0,0,0.097561,0.110000,0.021390,0.026961
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,2,4,0,0,0.046512,0.043011,0.010695,0.009804
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,conditions,2,4,0,0,0.046512,0.043011,0.010695,0.009804
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,hedging,1,2,0,0,0.023256,0.021505,0.005348,0.004902
