scenario,level,system,expression_group_layer,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S5,trigrams,AC15,cross_cutting,10,20,0,0,0.172414,0.160000,0.039370,0.034965
S5,trigrams,AC15P,constraint_aligned,50,128,1,2,0.769231,0.800000,0.196850,0.223776
S5,trigrams,AC15P,cross_cutting,17,36,0,0,0.261538,0.225000,0.066929,0.062937
S5,trigrams,CONTROL,constraint_aligned,33,80,0,0,0.733333,0.754717,0.129921,0.139860
S5,trigrams,CONTROL,cross_cutting,16,35,0,0,0.355556,0.330189,0.062992,0.061189
S5,trigrams,HYBRID_3_5,constraint_aligned,29,63,0,0,0.805556,0.818182,0.114173,0.110140
S5,trigrams,HYBRID_3_5,cross_cutting,9,18,0,0,0.250000,0.233766,0.035433,0.031469
S5,trigrams,HYBRID_SEMANTIC,constraint_aligned,33,70,0,0,0.660000,0.673077,0.129921,0.122378
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,20,40,0,0,0.400000,0.384615,0.078740,0.069930
S7,quadgrams,AC15,constraint_aligned,23,47,1,2,0.547619,0.546512,0.130682,0.123037
S7,quadgrams,AC15,cross_cutting,19,39,0,0,0.452381,0.453488,0.107955,0.102094
S7,quadgrams,AC15P,constraint_aligned,25,54,0,0,0.581395,0.551020,0.142045,0.141361
S7,quadgrams,AC15P,cross_cutting,18,44,0,0,0.418605,0.448980,0.102273,0.115183
S7,quadgrams,CONTROL,constraint_aligned,10,20,0,0,0.400000,0.392157,0.056818,0.052356
S7,quadgrams,CONTROL,cross_cutting,15,31,0,0,0.600000,0.607843,0.085227,0.081152
S7,quadgrams,HYBRID_3_5,constraint_aligned,10,20,0,0,0.357143,0.312500,0.056818,0.052356
S7,quadgrams,HYBRID_3_5,cross_cutting,18,44,0,0,0.642857,0.687500,0.102273,0.115183
S7,quadgrams,HYBRID_SEMANTIC,constraint_aligned,23,46,0,0,0.605263,0.554217,0.130682,0.120419
S7,quadgrams,HYBRID_SEMANTIC,cross_cutting,21,49,0,0,0.552632,0.590361,0.119318,0.128272
S7,trigrams,AC15,constraint_aligned,30,64,1,2,0.588235,0.587156,0.132743,0.132780
S7,trigrams,AC15,cross_cutting,22,47,0,0,0.431373,0.431193,0.097345,0.097510
S7,trigrams,AC15P,constraint_aligned,40,85,0,0,0.689655,0.696721,0.176991,0.176349
S7,trigrams,AC15P,cross_cutting,18,37,0,0,0.310345,0.303279,0.079646,0.076763
S7,trigrams,CONTROL,constraint_aligned,15,31,0,0,0.555556,0.543860,0.066372,0.064315
S7,trigrams,CONTROL,cross_cutting,13,28,0,0,0.481481,0.491228,0.057522,0.058091
S7,trigrams,HYBRID_3_5,constraint_aligned,20,42,1,2,0.476190,0.466667,0.088496,0.087137
S7,trigrams,HYBRID_3_5,cross_cutting,22,48,0,0,0.523810,0.533333,0.097345,0.099585
S7,trigrams,HYBRID_SEMANTIC,constraint_aligned,28,56,0,0,0.583333,0.538462,0.123894,0.116183
S7,trigrams,HYBRID_SEMANTIC,cross_cutting,26,60,0,0,0.541667,0.576923,0.115044,0.124481
