scenario,level,expression_group_layer,expression_group,row_count,sum_count,system_count,systems,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S5,quadgrams,cross_cutting,autonomy_sovereignty,3,6,2,CONTROL;HYBRID_SEMANTIC,0.016304,0.014778
S5,quadgrams,cross_cutting,conditions,9,18,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.048913,0.044335
S5,quadgrams,cross_cutting,hedging,16,33,3,AC15P;CONTROL;HYBRID_3_5,0.086957,0.081281
S5,quadgrams,constraint_aligned,imagination_and_possibility,9,20,3,AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.048913,0.049261
S5,quadgrams,constraint_aligned,practical_considerations_and_execution,47,113,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.255435,0.278325
S5,quadgrams,cross_cutting,smoothing,1,2,1,HYBRID_SEMANTIC,0.005435,0.004926
S5,quadgrams,cross_cutting,surfacing,22,44,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.119565,0.108374
S5,quadgrams,constraint_aligned,temporal_projection,45,105,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.244565,0.258621
S5,quadgrams,constraint_aligned,truth,55,119,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.298913,0.293103
S5,quadgrams,cross_cutting,warning,5,10,3,AC15;HYBRID_3_5;HYBRID_SEMANTIC,0.027174,0.024631
S5,trigrams,cross_cutting,autonomy_sovereignty,8,16,3,AC15;CONTROL;HYBRID_SEMANTIC,0.031496,0.027972
S5,trigrams,cross_cutting,conditions,10,20,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.039370,0.034965
S5,trigrams,cross_cutting,hedging,18,36,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.070866,0.062937
S5,trigrams,constraint_aligned,imagination_and_possibility,13,30,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.051181,0.052448
S5,trigrams,constraint_aligned,practical_considerations_and_execution,56,130,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.220472,0.227273
S5,trigrams,cross_cutting,smoothing,3,6,1,HYBRID_SEMANTIC,0.011811,0.010490
S5,trigrams,cross_cutting,surfacing,25,55,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.098425,0.096154
S5,trigrams,constraint_aligned,temporal_projection,63,147,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.248031,0.256993
S5,trigrams,constraint_aligned,truth,84,194,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.330709,0.339161
S5,trigrams,cross_cutting,warning,10,20,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.039370,0.034965
