scenario,level,system,group,layer,group_rows,group_sum_count,system_total_rows,system_total_sum_count,group_row_share,group_sum_share
S3,quadgrams,CONTROL,warning,B,4,8,109,230,0.03669724770642202,0.034782608695652174
S3,quadgrams,CONTROL,conditions,B,4,8,109,230,0.03669724770642202,0.034782608695652174
S3,quadgrams,CONTROL,autonomy_sovereignty,B,3,9,109,230,0.027522935779816515,0.0391304347826087
S3,quadgrams,AC15,truth,A,4,8,152,320,0.02631578947368421,0.025
S3,quadgrams,AC15,practical_considerations_and_execution,A,14,28,152,320,0.09210526315789473,0.0875
S3,quadgrams,AC15,temporal_projection,A,7,14,152,320,0.046052631578947366,0.04375
S3,quadgrams,AC15,imagination_and_possibility,A,2,4,152,320,0.013157894736842105,0.0125
S3,quadgrams,AC15,surfacing,B,1,2,152,320,0.006578947368421052,0.00625
S3,quadgrams,AC15,smoothing,B,0,0,152,320,0.0,0.0
S3,quadgrams,AC15,hedging,B,3,6,152,320,0.019736842105263157,0.01875
S3,quadgrams,AC15,warning,B,0,0,152,320,0.0,0.0
S3,quadgrams,AC15,conditions,B,0,0,152,320,0.0,0.0
S3,quadgrams,AC15,autonomy_sovereignty,B,0,0,152,320,0.0,0.0
S3,quadgrams,AC15P,truth,A,4,8,171,365,0.023391812865497075,0.021917808219178082
S3,quadgrams,AC15P,practical_considerations_and_execution,A,16,35,171,365,0.0935672514619883,0.0958904109589041
S3,quadgrams,AC15P,temporal_projection,A,9,20,171,365,0.05263157894736842,0.0547945205479452
S3,quadgrams,AC15P,imagination_and_possibility,A,4,8,171,365,0.023391812865497075,0.021917808219178082
S3,quadgrams,AC15P,surfacing,B,5,10,171,365,0.029239766081871343,0.0273972602739726
S3,quadgrams,AC15P,smoothing,B,3,6,171,365,0.017543859649122806,0.01643835616438356
S3,quadgrams,AC15P,hedging,B,5,10,171,365,0.029239766081871343,0.0273972602739726
S3,quadgrams,AC15P,warning,B,0,0,171,365,0.0,0.0
S3,quadgrams,AC15P,conditions,B,4,10,171,365,0.023391812865497075,0.0273972602739726
